"Dep.Country.Code","vbs","date","n"
"BR","AR",2022-07-23,1
"BR","AR",2022-08-08,1
"BR","CH",2022-07-22,1
"BR","CH",2022-08-09,1
"BR","CH",2022-08-26,1
"BR","FR",2022-09-04,1
"BR","IT",2022-08-31,1
"BR","JP",2022-08-13,1
"BR","OTHER",2022-06-30,1
"BR","OTHER",2022-07-17,1
"BR","OTHER",2022-07-29,1
"BR","OTHER",2022-08-14,1
"BR","OTHER",2022-08-18,1
"BR","OTHER",2022-08-19,1
"BR","OTHER",2022-08-22,1
"BR","OTHER",2022-09-04,1
"BR","US",2022-07-11,1
"BR","US",2022-07-15,2
"BR","US",2022-08-13,1
"CA","FR",2022-06-13,1
"CA","IL",2022-08-14,1
"CA","IN",2022-07-04,1
"CA","JP",2022-08-14,1
"CA","MX",2022-07-19,1
"CA","OTHER",2022-06-14,1
"CA","OTHER",2022-06-17,1
"CA","OTHER",2022-06-22,1
"CA","OTHER",2022-06-26,1
"CA","OTHER",2022-07-11,1
"CA","OTHER",2022-07-14,1
"CA","OTHER",2022-07-29,1
"CA","OTHER",2022-08-03,1
"CA","OTHER",2022-08-07,1
"CA","OTHER",2022-08-08,2
"CA","OTHER",2022-08-09,1
"CA","OTHER",2022-08-22,1
"CA","OTHER",2022-08-30,1
"CA","US",2022-05-11,1
"CA","US",2022-05-22,1
"CA","US",2022-06-01,1
"CA","US",2022-06-16,1
"CA","US",2022-06-25,1
"CA","US",2022-07-05,1
"CA","US",2022-07-07,1
"CA","US",2022-07-09,1
"CA","US",2022-07-18,1
"CA","US",2022-07-20,1
"CA","US",2022-07-26,1
"CA","US",2022-08-11,1
"CA","US",2022-08-24,1
"CA","US",2022-08-27,1
"CO","AR",2022-08-25,1
"CO","BR",2022-08-29,1
"CO","OTHER",2022-08-22,1
"CO","US",2022-08-17,1
"CO","US",2022-08-25,1
"CO","US",2022-09-02,1
"DE","AR",2022-07-14,1
"DE","BR",2022-07-11,1
"DE","CZ",2022-07-31,1
"DE","DK",2022-06-29,1
"DE","FI",2022-06-29,1
"DE","FR",2022-06-21,1
"DE","FR",2022-06-22,1
"DE","FR",2022-06-30,2
"DE","FR",2022-07-04,1
"DE","FR",2022-07-31,1
"DE","FR",2022-08-07,1
"DE","IL",2022-06-20,1
"DE","IL",2022-06-25,1
"DE","IN",2022-05-31,1
"DE","IT",2022-06-22,1
"DE","IT",2022-06-29,1
"DE","IT",2022-07-20,1
"DE","IT",2022-07-27,1
"DE","IT",2022-08-02,1
"DE","IT",2022-08-04,1
"DE","NO",2022-06-17,1
"DE","NO",2022-07-07,1
"DE","NO",2022-07-10,1
"DE","OTHER",2022-06-09,1
"DE","OTHER",2022-06-10,1
"DE","OTHER",2022-06-11,1
"DE","OTHER",2022-06-12,1
"DE","OTHER",2022-06-14,1
"DE","OTHER",2022-06-15,2
"DE","OTHER",2022-06-16,1
"DE","OTHER",2022-06-17,4
"DE","OTHER",2022-06-18,1
"DE","OTHER",2022-06-20,3
"DE","OTHER",2022-06-21,3
"DE","OTHER",2022-06-23,2
"DE","OTHER",2022-06-24,1
"DE","OTHER",2022-06-25,5
"DE","OTHER",2022-06-26,3
"DE","OTHER",2022-06-27,2
"DE","OTHER",2022-06-28,2
"DE","OTHER",2022-06-29,1
"DE","OTHER",2022-06-30,2
"DE","OTHER",2022-07-01,1
"DE","OTHER",2022-07-03,1
"DE","OTHER",2022-07-04,2
"DE","OTHER",2022-07-06,4
"DE","OTHER",2022-07-07,2
"DE","OTHER",2022-07-09,1
"DE","OTHER",2022-07-11,1
"DE","OTHER",2022-07-12,3
"DE","OTHER",2022-07-13,1
"DE","OTHER",2022-07-14,2
"DE","OTHER",2022-07-15,3
"DE","OTHER",2022-07-17,1
"DE","OTHER",2022-07-19,1
"DE","OTHER",2022-07-21,2
"DE","OTHER",2022-07-22,2
"DE","OTHER",2022-07-23,1
"DE","OTHER",2022-07-24,1
"DE","OTHER",2022-07-25,2
"DE","OTHER",2022-07-26,1
"DE","OTHER",2022-07-27,1
"DE","OTHER",2022-07-29,2
"DE","OTHER",2022-07-31,1
"DE","OTHER",2022-08-02,1
"DE","OTHER",2022-08-03,1
"DE","OTHER",2022-08-06,3
"DE","OTHER",2022-08-08,1
"DE","OTHER",2022-08-09,1
"DE","OTHER",2022-08-10,1
"DE","OTHER",2022-08-11,2
"DE","OTHER",2022-08-12,1
"DE","OTHER",2022-08-13,2
"DE","OTHER",2022-08-14,2
"DE","OTHER",2022-08-17,2
"DE","OTHER",2022-08-19,1
"DE","OTHER",2022-08-25,1
"DE","TH",2022-07-18,1
"DE","US",2022-07-08,1
"DE","US",2022-07-12,1
"DE","US",2022-08-08,1
"DE","ZA",2022-06-29,1
"ES","AR",2022-08-05,1
"ES","BR",2022-08-01,1
"ES","CH",2022-08-11,1
"ES","CH",2022-08-19,1
"ES","CH",2022-09-01,1
"ES","CN",2022-08-27,1
"ES","DE",2022-05-19,1
"ES","DE",2022-06-07,1
"ES","DE",2022-06-18,1
"ES","DE",2022-06-24,1
"ES","DE",2022-06-26,2
"ES","DE",2022-07-04,1
"ES","DE",2022-07-05,1
"ES","DE",2022-07-09,1
"ES","DE",2022-07-12,1
"ES","DE",2022-07-18,1
"ES","DE",2022-07-19,1
"ES","DE",2022-07-22,2
"ES","DE",2022-07-26,1
"ES","DE",2022-07-29,1
"ES","DE",2022-07-30,1
"ES","DE",2022-08-01,1
"ES","DE",2022-08-03,1
"ES","DE",2022-08-05,1
"ES","DE",2022-08-19,1
"ES","DK",2022-06-25,1
"ES","DK",2022-07-13,1
"ES","DK",2022-07-17,1
"ES","FI",2022-07-20,1
"ES","FR",2022-06-27,1
"ES","FR",2022-06-28,1
"ES","FR",2022-06-30,1
"ES","FR",2022-07-04,1
"ES","FR",2022-07-05,1
"ES","FR",2022-07-08,2
"ES","FR",2022-07-09,2
"ES","FR",2022-07-19,1
"ES","FR",2022-07-30,1
"ES","IN",2022-09-04,1
"ES","IT",2022-05-25,1
"ES","IT",2022-06-11,1
"ES","IT",2022-06-22,1
"ES","IT",2022-06-23,1
"ES","IT",2022-06-27,2
"ES","IT",2022-06-29,1
"ES","IT",2022-07-01,1
"ES","IT",2022-07-05,1
"ES","IT",2022-07-06,2
"ES","IT",2022-07-07,1
"ES","IT",2022-07-08,1
"ES","IT",2022-07-09,1
"ES","IT",2022-07-12,1
"ES","IT",2022-07-14,2
"ES","IT",2022-07-17,1
"ES","IT",2022-07-19,1
"ES","IT",2022-08-03,1
"ES","IT",2022-08-05,1
"ES","IT",2022-08-09,1
"ES","IT",2022-08-12,2
"ES","IT",2022-08-16,1
"ES","IT",2022-09-03,1
"ES","MX",2022-07-05,1
"ES","MX",2022-07-08,1
"ES","MX",2022-07-22,1
"ES","MX",2022-08-02,1
"ES","MX",2022-08-23,1
"ES","NO",2022-05-30,1
"ES","OTHER",2022-05-18,1
"ES","OTHER",2022-05-20,1
"ES","OTHER",2022-06-03,2
"ES","OTHER",2022-06-06,1
"ES","OTHER",2022-06-10,1
"ES","OTHER",2022-06-13,1
"ES","OTHER",2022-06-14,1
"ES","OTHER",2022-06-16,2
"ES","OTHER",2022-06-18,2
"ES","OTHER",2022-06-20,1
"ES","OTHER",2022-06-21,2
"ES","OTHER",2022-06-23,1
"ES","OTHER",2022-06-24,1
"ES","OTHER",2022-06-25,3
"ES","OTHER",2022-06-27,1
"ES","OTHER",2022-06-28,1
"ES","OTHER",2022-06-29,2
"ES","OTHER",2022-06-30,3
"ES","OTHER",2022-07-01,1
"ES","OTHER",2022-07-02,2
"ES","OTHER",2022-07-03,3
"ES","OTHER",2022-07-04,1
"ES","OTHER",2022-07-05,4
"ES","OTHER",2022-07-06,3
"ES","OTHER",2022-07-07,2
"ES","OTHER",2022-07-08,3
"ES","OTHER",2022-07-11,1
"ES","OTHER",2022-07-12,5
"ES","OTHER",2022-07-13,3
"ES","OTHER",2022-07-14,1
"ES","OTHER",2022-07-15,4
"ES","OTHER",2022-07-16,1
"ES","OTHER",2022-07-17,1
"ES","OTHER",2022-07-19,1
"ES","OTHER",2022-07-20,2
"ES","OTHER",2022-07-22,4
"ES","OTHER",2022-07-23,1
"ES","OTHER",2022-07-25,1
"ES","OTHER",2022-07-26,4
"ES","OTHER",2022-07-28,1
"ES","OTHER",2022-07-30,4
"ES","OTHER",2022-07-31,2
"ES","OTHER",2022-08-01,1
"ES","OTHER",2022-08-02,3
"ES","OTHER",2022-08-03,1
"ES","OTHER",2022-08-05,5
"ES","OTHER",2022-08-06,2
"ES","OTHER",2022-08-07,1
"ES","OTHER",2022-08-08,2
"ES","OTHER",2022-08-09,1
"ES","OTHER",2022-08-10,1
"ES","OTHER",2022-08-12,4
"ES","OTHER",2022-08-14,2
"ES","OTHER",2022-08-15,1
"ES","OTHER",2022-08-16,1
"ES","OTHER",2022-08-17,2
"ES","OTHER",2022-08-18,1
"ES","OTHER",2022-08-20,2
"ES","OTHER",2022-08-28,1
"ES","OTHER",2022-08-29,1
"ES","OTHER",2022-09-06,1
"ES","PH",2022-06-29,1
"ES","TW",2022-07-25,1
"ES","US",2022-05-14,1
"ES","US",2022-06-09,1
"ES","US",2022-06-19,1
"ES","US",2022-06-26,1
"ES","US",2022-07-04,1
"ES","US",2022-07-10,1
"ES","US",2022-07-18,1
"ES","US",2022-07-22,1
"ES","US",2022-07-25,1
"ES","US",2022-07-29,1
"ES","US",2022-08-05,2
"ES","ZA",2022-08-09,1
"FR","AR",2022-08-04,1
"FR","BR",2022-06-22,1
"FR","BR",2022-07-19,1
"FR","CA",2022-07-22,1
"FR","CA",2022-07-26,1
"FR","CH",2022-07-10,1
"FR","CH",2022-07-19,1
"FR","CH",2022-07-25,1
"FR","CH",2022-08-04,1
"FR","CN",2022-07-07,1
"FR","CZ",2022-06-30,1
"FR","DE",2022-06-30,1
"FR","DE",2022-08-02,1
"FR","FI",2022-07-14,1
"FR","FI",2022-08-23,1
"FR","IT",2022-06-01,1
"FR","IT",2022-06-09,1
"FR","IT",2022-06-17,1
"FR","IT",2022-07-18,1
